hour,totalCirculating,totalIssued,totalStaking,totalCollateral,totalEspaceTokens,create_ts,totalStorageTokens,convertedStoragePoints,usedStoragePoints,convertedStoragePoints_cfx
2023-09-18 19:00:00+00:00,3760463396.805209,5422963406.909376,406351061.3565606,3273381.5625,144261233.2053149,2023-09-18T19:33:54+00:00,3273381.5625,708309504.0,234040896.0,691708.5
2023-09-18 20:00:00+00:00,3760476278.6068535,5422976288.71102,406352061.3565606,3273382.0625,144262220.6109664,2023-09-18T20:33:55+00:00,3273382.0625,708309504.0,234041152.0,691708.5
2023-09-18 21:00:00+00:00,3760486060.362956,5422986070.467123,406357095.794928,3273382.0625,144268102.83824247,2023-09-18T21:33:54+00:00,3273382.0625,708309504.0,234041536.0,691708.5
2023-09-18 22:00:00+00:00,3760498584.012671,5422998594.1168375,406358095.794928,3273382.375,144269062.54331607,2023-09-18T22:33:54+00:00,3273382.375,708309504.0,234041152.0,691708.5
2023-09-18 23:00:00+00:00,3760511002.14534,5423011012.249506,406361140.6449279,3273384.75,144269132.4849481,2023-09-18T23:33:54+00:00,3273384.75,708309504.0,234041600.0,691708.5
2023-09-19 00:00:00+00:00,3760523656.590682,5423023666.694849,406366140.6449279,3273387.625,144290155.9024535,2023-09-19T00:33:55+00:00,3273387.625,708309504.0,234041472.0,691708.5
2023-09-19 01:00:00+00:00,3760536378.8103657,5423036388.914533,406369140.6449279,3273387.9375,144282609.11235836,2023-09-19T01:33:55+00:00,3273387.9375,708319744.0,234041856.0,691718.5
2023-09-19 02:00:00+00:00,3760545926.365743,5423045936.46991,406372149.5417976,3272320.75,144297249.5230243,2023-09-19T02:33:56+00:00,3272320.75,711346688.0,235137280.0,694674.5
2023-09-19 03:00:00+00:00,3760558317.1453214,5423058327.249489,406573149.5417976,3272333.375,144314986.07759717,2023-09-19T03:33:56+00:00,3272333.375,711399936.0,235138112.0,694726.5
2023-09-19 04:00:00+00:00,3760570733.733471,5423070743.837638,406575149.5417976,3272331.5625,144268837.65596807,2023-09-19T04:33:55+00:00,3272331.5625,711399936.0,235139840.0,694726.5
2023-09-19 05:00:00+00:00,3760583286.6205406,5423083296.724708,406575149.5417976,3272335.5,144268868.45667627,2023-09-19T05:33:55+00:00,3272335.5,711399936.0,235139904.0,694726.5
